捡陋好房 一手操作税费少 精装现房  即住 近  目送  ,洪山,67
钰龙旭辉半岛一期 商品住宅 小三居 近地铁 车位充足 近医院,汉阳,128
保利中央公馆精装3房  产证满二年无贷款对付款方式无要求,洪山,154
光谷188社区交通便利 近地铁 带电梯 中间好楼层 满五,洪山,198
世茂龙湾(二期) 环境优美 南向采光好 密度低 有电梯,沌口开发区,160
湘隆时代 双地铁口 边户 精装修自住大三房 拎包入住,沌口开发区,138
长存花园精装交付中央空调地暖新风系统南北通透居住舒适,洪山,129
和平公园融创临江府 通透3房 看房方便,青山,150
安普顿小镇顶楼复式，毛坯洋房，满二年，三房的价格买五房,江夏,160
央企中建，次新房，明厨明卫，三面采光，南面正看小区环境。,洪山,110
万科城市之光 南北通透 精装可拎包入住 产权清晰 车位充足,洪山,160
好视野单价7千三房 恩施街112街 精装可拎包入住 生活便利,青山,64
新力城 南北双阳台边户 中间好楼层 二次装修 车位充足,洪山,115
长江新区 高车地铁口 汉北大全景精装三房 证满 随时看房,黄陂,60
必看好房  纽宾凯蜜城  中高楼层  房东急售,汉阳,104.9
地铁5号线和平公园旁 融创临江府 三个公园 天热氧吧,青山,186
和平大道 精装好房 次新小区 临地铁 高楼层采光充足,青山,92
必卖房！万科汉口传奇 精装三房 红领巾实验一初东 万科广场,江汉,161
海赋江城天韵C区 小区新 近医院 带电梯 购物方便 精装修,江岸,125
安普顿小镇 满五为一 低密洋房 一梯两户 居家装修 急售,江夏,138
万科翡翠玖玺，地铁旁老证大三房,沌口开发区,192
洪山主城区 户型方正 采光上佳 产权清晰 精装3房,洪山,115
黄家湖军运村地铁口融创城 南北通透大三房 采光和视野都很好,江夏,102
正规商品房 电梯房 小区新 交通便利 医疗配套成熟 近地铁,江岸,168
双卫生间 房龄新 近医院 停车方便 临地铁 商品房 居家自住,洪山,145
商业配套齐全 装修好 高楼层采光充足 产权清晰 小三居,黄陂,78
盛世江城 3房2厅 不临三环 中低楼层 老证 小区中间诚心卖,江汉,145
小区    ，房东诚心卖房，看房随时，到价可以随时签约,洪山,160
自住好房，年轻装修，全朝南万科两房,江夏,83
急售！二桥 万科品质精装三房 采光好 保养新,汉阳,142
天祥尚府 满二 精装边户三房 小区中间位置 诚心出售价格可谈,江夏,163
水域天际 旁商场超市电影院应有尽有 关键上南湖  和南湖中学,武昌,205
好房急售，210出，税费少满五   ，南北通透，户型方正 。,武昌,198
融创公园壹号(二期) 近地铁 商品住宅 商业配套成熟 双卫,江岸,169.8
急售 武昌内环螃蟹岬 凤凰世纪家园 中间楼层  南北通透两房,武昌,155
    ，白沙洲正商电梯洋房，产证满二，好楼层，诚心出售,洪山,182
地铁口，山姆旁，广电兰亭时代，毛坯老证，南北通三房两卫，安静,汉阳,130
融科天城三期三阳路地铁口空中花园老证随时看房,江岸,300
单价1  产证已办 东湖雅庭 大两房 中高楼层 首付15上车,洪山,90
精装修拎包入住，南北通透，业主诚心出售,江岸,239
（必看好房）（房东急售）随时看 价格可以刀 懂得来看,汉阳,142
联投国企 通透精装三房 边户 中间楼层 证满两年 价格奈斯,江夏,90
八大家花园43街坊 交通便捷 小三房 小区新 超低密度,青山,126
雅澜苑的次新房，2室2厅，中间楼层，户型很好，看房方便,青山,105
毛坯三房南北通透   户型方正，无浪费面积   楼层采光充足,洪山,76
特价好房 钟家村和二桥加持 边户可看湖 出行方便 随时可看房,汉阳,140
鹏湖湾 商业配套齐全 临地铁 小区新 双卫格局 产权清晰,江夏,125
万科汉口传奇悦庭 次新房 万科物业 中高层采光好 老证税少。,江汉,200
保利公园九里(14期) 出行方便 装修好 南向采光好,洪山,139
八大家花园38街坊 带电梯 周边配套成熟 装修好 临地铁,青山,99
汉口城市广场(1期) 带电梯 产权清晰 商业配套成熟 装修好,江岸,153
[燕归园]冰糖社区配套成熟 精装拎包入住 高楼层视野采光好,汉阳,100
黄家湖地铁口 央企保利 精装修洋房 带地暖 中央空调,江夏,165
汉阳大道 十里铺双地铁口 精装三房未住人 中间楼层 老证急售,汉阳,149
新华联青年城  改造空间大 洋房复式 送露台 实得200平,江夏,112
一江璟城 红钢城地铁口 毛坯房  经典小户型 视野开阔,青山,125
软件园光谷天地，万科城花璟苑（三期  ，视野好）急售送豪装！,洪山,115
门店好房推荐 万科翡翠滨江 东边户 大三房 证满二 无连廊,汉阳,230
（力荐好房）科技住宅 恒温恒氧 户型方正 随时看房,汉阳,160
枫华苑 电梯房 精装修 产权清晰 近医院 交通便捷,汉阳,128
正南北通透自住精装小三房 南向视野無敌 保利心语地铁口好房,洪山,128
中间楼层 临地铁 东南朝向 装修好 出行方便 有电梯,洪山,157
博海名居 南北通透 有电梯 双卫格局 商品住宅 老证 无遮挡,江汉,120
汉阳地铁口第四代住宅单价1.3万,汉阳,163
华科大地铁口，光谷步行街精装修二房，拎包入住，好楼层好采光,洪山,130
杨家湾地铁口  五环社区  标准四房两厅两卫,洪山,172
